usageKey,scientificName,canonicalName,rank,status,confidence,matchType,kingdom,phylum,order,family,genus,species,kingdomKey,phylumKey,classKey,orderKey,familyKey,genusKey,speciesKey,synonym,class,acceptedUsageKey,is_alternative,verbatim_name,verbatim_index
7258806,Calochortus longebarbatus var. longebarbatus,Calochortus longebarbatus longebarbatus,VARIETY,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Liliales,Liliaceae,Calochortus,Calochortus longebarbatus,6,7707728,196,1172,7699,2750667,6396655,FALSE,Liliopsida,NA,FALSE,Calochortus longebarbatus longebarbatus,470
2750752,Calochortus monanthus Ownbey,Calochortus monanthus,SPECIES,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Liliales,Liliaceae,Calochortus,Calochortus monanthus,6,7707728,196,1172,7699,2750667,2750752,FALSE,Liliopsida,NA,FALSE,Calochortus monanthus,471
2750675,Calochortus obispoensis Lemmon,Calochortus obispoensis,SPECIES,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Liliales,Liliaceae,Calochortus,Calochortus obispoensis,6,7707728,196,1172,7699,2750667,2750675,FALSE,Liliopsida,NA,FALSE,Calochortus obispoensis,472
2750769,Calochortus palmeri var. munzii Ownbey,Calochortus palmeri munzii,VARIETY,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Liliales,Liliaceae,Calochortus,Calochortus palmeri,6,7707728,196,1172,7699,2750667,2750762,FALSE,Liliopsida,NA,FALSE,Calochortus palmeri munzii,473
7070890,Calochortus palmeri var. palmeri,Calochortus palmeri palmeri,VARIETY,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Liliales,Liliaceae,Calochortus,Calochortus palmeri,6,7707728,196,1172,7699,2750667,2750762,FALSE,Liliopsida,NA,FALSE,Calochortus palmeri palmeri,474
2750694,Calochortus persistens Ownbey,Calochortus persistens,SPECIES,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Liliales,Liliaceae,Calochortus,Calochortus persistens,6,7707728,196,1172,7699,2750667,2750694,FALSE,Liliopsida,NA,FALSE,Calochortus persistens,475
2750880,Calochortus plummerae Greene,Calochortus plummerae,SPECIES,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Liliales,Liliaceae,Calochortus,Calochortus plummerae,6,7707728,196,1172,7699,2750667,2750880,FALSE,Liliopsida,NA,FALSE,Calochortus plummerae,476
2750710,Calochortus pulchellus (Benth.) Alph.Wood,Calochortus pulchellus,SPECIES,ACCEPTED,98,EXACT,Plantae,Tracheophyta,Liliales,Liliaceae,Calochortus,Calochortus pulchellus,6,7707728,196,1172,7699,2750667,2750710,FALSE,Liliopsida,NA,FALSE,Calochortus pulchellus,477
2750725,Calochortus raichei Farwig & V.Girard,Calochortus raichei,SPECIES,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Liliales,Liliaceae,Calochortus,Calochortus raichei,6,7707728,196,1172,7699,2750667,2750725,FALSE,Liliopsida,NA,FALSE,Calochortus raichei,478
2750742,Calochortus simulans (Hoover) Munz,Calochortus simulans,SPECIES,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Liliales,Liliaceae,Calochortus,Calochortus simulans,6,7707728,196,1172,7699,2750667,2750742,FALSE,Liliopsida,NA,FALSE,Calochortus simulans,479
2750795,Calochortus striatus Parish,Calochortus striatus,SPECIES,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Liliales,Liliaceae,Calochortus,Calochortus striatus,6,7707728,196,1172,7699,2750667,2750795,FALSE,Liliopsida,NA,FALSE,Calochortus striatus,480
2750824,Calochortus syntrophus Callahan,Calochortus syntrophus,SPECIES,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Liliales,Liliaceae,Calochortus,Calochortus syntrophus,6,7707728,196,1172,7699,2750667,2750824,FALSE,Liliopsida,NA,FALSE,Calochortus syntrophus,481
2750777,Calochortus tiburonensis A.J.Hill,Calochortus tiburonensis,SPECIES,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Liliales,Liliaceae,Calochortus,Calochortus tiburonensis,6,7707728,196,1172,7699,2750667,2750777,FALSE,Liliopsida,NA,FALSE,Calochortus tiburonensis,482
2750670,Calochortus weedii var. intermedius Ownbey,Calochortus weedii intermedius,VARIETY,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Liliales,Liliaceae,Calochortus,Calochortus weedii,6,7707728,196,1172,7699,2750667,2750668,FALSE,Liliopsida,NA,FALSE,Calochortus weedii intermedius,483
2750895,Calochortus westonii Eastw.,Calochortus westonii,SPECIES,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Liliales,Liliaceae,Calochortus,Calochortus westonii,6,7707728,196,1172,7699,2750667,2750895,FALSE,Liliopsida,NA,FALSE,Calochortus westonii,484
3093019,Calycadenia hooveri G.D.Carr,Calycadenia hooveri,SPECIES,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Asterales,Asteraceae,Calycadenia,Calycadenia hooveri,6,7707728,220,414,3065,3092995,3093019,FALSE,Magnoliopsida,NA,FALSE,Calycadenia hooveri,485
